Area,Item,Year,Value
Türkiye,Percentage of the population unable to afford a healthy diet (percent),2019,8.9
Türkiye,Percentage of the population unable to afford a healthy diet (percent),2020,6.9
Türkiye,Percentage of the population unable to afford a healthy diet (percent),2021,6
Uruguay,Cost of a healthy diet (PPP dollar per person per day),2017,3.073
Uruguay,Cost of a healthy diet (PPP dollar per person per day),2018,3.17
Uruguay,Cost of a healthy diet (PPP dollar per person per day),2019,3.254
Uruguay,Cost of a healthy diet (PPP dollar per person per day),2020,3.414
Uruguay,Cost of a healthy diet (PPP dollar per person per day),2021,3.543
Uruguay,Percentage of the population unable to afford a healthy diet (percent),2017,2.8
Uruguay,Percentage of the population unable to afford a healthy diet (percent),2018,3
Uruguay,Percentage of the population unable to afford a healthy diet (percent),2019,3.3
Uruguay,Percentage of the population unable to afford a healthy diet (percent),2020,5.3
Uruguay,Percentage of the population unable to afford a healthy diet (percent),2021,5.2
